Cancer,Classifier,Mean_Precision,Mean_Recall,Mean_F1
GS-BRCA,Base_MLP,0.8901460539083390,0.8792592592592590,0.8814657814935220
GS-BRCA,SVM,0.856563553738439,0.8554228855721390,0.8517766585739610
GS-BRCA,XGBoost,0.8351240475391300,0.8404754007739080,0.83492304961285
GS-BRCA,Deeper_MLP,0.8673609594475420,0.8628855721393040,0.8607705375281280
GS-LGG,Base_MLP,0.9850174825174830,0.9838367346938780,0.9839026706347970
GS-LGG,SVM,0.9659638641781500,0.9636734693877550,0.9625163202402320
GS-LGG,XGBoost,0.9660521687307400,0.963673469387755,0.9634214523427260
GS-LGG,Deeper_MLP,0.9645824175824180,0.9635102040816330,0.9633603806489520
GS-OV,Base_MLP,0.9111695122166150,0.9012531328320800,0.9001057225100910
GS-OV,SVM,0.8588165100723150,0.8484962406015040,0.8469736777740080
GS-OV,XGBoost,0.8337168789031540,0.8062656641604010,0.8027569041843360
GS-OV,Deeper_MLP,0.8365360680627710,0.830889724310777,0.8281382815970520
GS-COAD,Base_MLP,0.9467291120568420,0.926923076923077,0.923121931604302
GS-COAD,SVM,0.8561260394390560,0.8692307692307690,0.8591063859135210
GS-COAD,XGBoost,0.8525938510559230,0.8615384615384620,0.8516760175787600
GS-COAD,Deeper_MLP,0.8498150934878910,0.8653846153846160,0.8546365355000880
GS-GBM,Base_MLP,0.8389052699001680,0.7905612244897960,0.794083162141108
GS-GBM,SVM,0.7870029698482270,0.7579931972789120,0.7619175330016580
GS-GBM,XGBoost,0.8228283122055960,0.799234693877551,0.8005741775297360
GS-GBM,Deeper_MLP,0.7797335291911020,0.7622448979591840,0.7627173014052140
