Omics,Gene,FAEC
Methy,C15orf59,1.0
miRNA,hsa.mir.187,1.0
miRNA,hsa.mir.1307,1.0
mRNA,KRT14,1.0
Methy,KIF3A,1.0
miRNA,hsa.mir.16.1,1.0
miRNA,hsa.mir.130b,1.0
miRNA,hsa.mir.20b,1.0
CNV,PNMT,1.0
CNV,ERBB2,1.0
miRNA,hsa.mir.1306,0.8
mRNA,KIF15,0.8
CNV,SIGLEC14,0.8
miRNA,hsa.mir.16.2,0.8
miRNA,hsa.mir.15b,0.8
miRNA,hsa.mir.205,0.8
miRNA,hsa.mir.324,0.8
miRNA,hsa.mir.1180,0.8
Methy,HNF1A,0.8
mRNA,NUSAP1,0.8
mRNA,CENPK,0.8
mRNA,SPDL1,0.8
mRNA,GAL3ST2,0.8
mRNA,S100A2,0.8
miRNA,hsa.mir.1266,0.8
CNV,PDHA2,0.6
Methy,ZNF462,0.6
Methy,RP11.500M8.7,0.6
Methy,SERPINA11,0.6
Methy,SEPT7,0.6
CNV,OR11H12,0.6
CNV,CTAGE8,0.6
CNV,ORMDL3,0.6
miRNA,hsa.let.7f.2,0.6
miRNA,hsa.let.7f.1,0.6
mRNA,PTTG1,0.6
Methy,S100A9,0.6
CNV,H2BFM,0.6
miRNA,hsa.mir.331,0.6
mRNA,KIF11,0.6
mRNA,PRPH2,0.6
mRNA,XRCC2,0.6
mRNA,DLGAP5,0.6
mRNA,SUSD2,0.4
Methy,CD44,0.4
Methy,NADK2,0.4
miRNA,hsa.mir.106b,0.4
miRNA,hsa.mir.106a,0.4
mRNA,NDC80,0.4
mRNA,ATP13A5,0.4
mRNA,NCAPG2,0.4
mRNA,PGAP3,0.4
mRNA,PARPBP,0.4
Methy,CTAGE9,0.4
mRNA,PLAC9P1,0.4
mRNA,DIAPH3,0.4
mRNA,DEFB1,0.4
mRNA,TEKT4P2,0.4
miRNA,hsa.mir.196b,0.4
miRNA,hsa.mir.320b.2,0.4
Methy,MRPL13,0.4
miRNA,hsa.mir.190b,0.4
Methy,MOBP,0.4
mRNA,SCNN1A,0.4
CNV,ENSG00000275034,0.4
CNV,C2orf73,0.4
CNV,DUSP22,0.4
CNV,QTRTD1,0.4
CNV,TRIM5,0.4
miRNA,hsa.mir.301b,0.4
CNV,FAM106A,0.4
Methy,CX3CR1,0.4
miRNA,hsa.mir.1301,0.4
CNV,SRBD1,0.4
CNV,OR2T10,0.4
CNV,PABPC5,0.4
Methy,TEKT5,0.4
CNV,MSH2,0.4
CNV,TTC7A,0.4
CNV,MSH6,0.4
CNV,EPAS1,0.4
miRNA,hsa.mir.3074,0.4
CNV,ZNF577,0.4
mRNA,USP41,0.4
CNV,ZNF175,0.4
CNV,PIGF,0.4
Methy,MEF2A,0.4
Methy,HSPH1,0.4
CNV,STMND1,0.4
CNV,PELI1,0.2
mRNA,IL17B,0.2
Methy,C2orf54,0.2
CNV,UGP2,0.2
CNV,ZDHHC11B,0.2
miRNA,hsa.mir.320a,0.2
miRNA,hsa.mir.320b.1,0.2
Methy,NLRC5,0.2
Methy,SENP3,0.2
Methy,CSDE1,0.2
mRNA,LOC554223,0.2
miRNA,hsa.mir.30e,0.2
miRNA,hsa.mir.21,0.2
Methy,FMNL1,0.2
miRNA,hsa.mir.3130.1,0.2
Methy,NRAS,0.2
Methy,FNTA,0.2
miRNA,hsa.mir.3130.2,0.2
Methy,RASL10B,0.2
Methy,KLHDC8B,0.2
mRNA,FAM198A,0.2
CNV,REL,0.2
mRNA,CKS1B,0.2
Methy,GHDC,0.2
CNV,ZBTB20,0.2
Methy,NAT8,0.2
CNV,OR52N1,0.2
CNV,ATG3,0.2
CNV,LIN7B,0.2
CNV,ZNF649,0.2
CNV,DRD3,0.2
CNV,ENSG00000258790,0.2
CNV,KIAA0391,0.2
Methy,SULT1A1,0.2
Methy,LILRA2,0.2
CNV,DBX1,0.2
Methy,C19orf18,0.2
Methy,ALS2CR12,0.2
Methy,C1orf74,0.2
Methy,RNF149,0.2
Methy,SOWAHA,0.2
Methy,KATNAL2,0.2
Methy,PLSCR1,0.2
Methy,IL17RC,0.2
CNV,CKMT1B,0.2
CNV,SNRNP70,0.2
CNV,RGPD3,0.2
miRNA,hsa.mir.204,0.2
CNV,KCNU1,0.2
CNV,FCGR3B,0.2
Methy,NSMCE1,0.2
Methy,ERGIC3,0.2
CNV,GAL,0.2
Methy,NAPEPLD,0.2
Methy,ITGB7,0.2
Methy,VN1R1,0.2
Methy,TYMP,0.2
mRNA,LIN9,0.2
mRNA,MFSD2A,0.2
mRNA,CKAP2,0.2
mRNA,ANLN,0.2
mRNA,MELK,0.2
mRNA,KCNF1,0.2
miRNA,hsa.mir.143,0.2
miRNA,hsa.mir.19b.1,0.2
CNV,CAV2,0.2
miRNA,hsa.mir.1226,0.2
CNV,GOLGA8H,0.2
mRNA,CD44,0.2
Methy,PPP2CA,0.2
Methy,MAP2K6,0.2
Methy,C5AR2,0.2
Methy,NATD1,0.2
mRNA,GRP,0.2
mRNA,NEIL3,0.2
mRNA,KIF20B,0.2
mRNA,SRPK3,0.2
miRNA,hsa.mir.3170,0.2
mRNA,HMMR,0.2
mRNA,CXorf56,0.2
mRNA,LOC100128531,0.2
mRNA,SERF1A,0.2
mRNA,MIR4635,0.2
mRNA,GREB1,0.2
miRNA,hsa.let.7e,0.2
Methy,PRR12,0.2
Methy,ZNF714,0.2
Methy,WDR78,0.2
Methy,FKBP2,0.2
miRNA,hsa.mir.340,0.2
CNV,BLMH,0.2
CNV,TFAM,0.2
CNV,B3GNTL1,0.2
CNV,GPR128,0.2
miRNA,hsa.mir.15a,0.2
miRNA,hsa.mir.1228,0.2
miRNA,hsa.mir.148b,0.2
Methy,FAM171A2,0.2
Methy,GEMIN4,0.2
Methy,RWDD2B,0.2
Methy,OR1L3,0.2
Methy,GOLGA6A,0.2
Methy,TACC3,0.2
Methy,AMY2A,0.2
miRNA,hsa.mir.34c,0.2
miRNA,hsa.mir.2277,0.2
CNV,POTEM,0.2
miRNA,hsa.mir.30a,0.2
mRNA,KMO,0.2
mRNA,CEBPE,0.2
mRNA,CCDC162P,0.2
mRNA,C2CD4B,0.2
mRNA,HOXA10.AS,0.2
mRNA,VTCN1,0.2
mRNA,BSPRY,0.2
miRNA,hsa.mir.33b,0.2
mRNA,SLC12A5.AS1,0.2
miRNA,hsa.mir.3605,0.2
miRNA,hsa.mir.2110,0.2
CNV,ENSG00000230031,0.2
CNV,CBX8,0.2
CNV,CBX4,0.2
CNV,PLXDC1,0.2
CNV,OR4F4,0.2
Methy,ESRRA,0.2
mRNA,TRIM29,0.2
Methy,TPST1,0.2
Methy,LRRC37B,0.2
CNV,ADAM18,0.2
CNV,TAS2R14,0.2
CNV,SOCS7,0.2
CNV,ARHGEF5,0.2
CNV,RIMBP3B,0.2
CNV,ATAD3B,0.2
mRNA,TPX2,0.2
Methy,SOX18,0.2
Methy,C6orf141,0.2
Methy,DCSTAMP,0.2
Methy,ARL4A,0.2
Methy,NUP210,0.2
Methy,ZKSCAN8,0.2
Methy,C2CD4B,0.2
mRNA,LOC105371083,0.2
Methy,KCNAB2,0.2
