Omics,Gene,FAEC
miRNA,hsa.mir.582,1.0
CNV,OR4M2,1.0
mRNA,KCNRG,1.0
mRNA,MGC12916,1.0
mRNA,HENMT1,1.0
mRNA,TCF7,0.8
Methy,HIST1H3G,0.8
miRNA,hsa.mir.381,0.8
miRNA,hsa.mir.487b,0.8
Methy,COMMD4,0.8
miRNA,hsa.mir.543,0.8
Methy,H2AFJ,0.8
mRNA,MSH4,0.8
miRNA,hsa.mir.92b,0.8
Methy,RDX,0.8
Methy,MEX3A,0.8
CNV,RP11.726G1.1,0.8
mRNA,ZNF274,0.8
Methy,GPR98,0.6
CNV,NINJ2,0.6
miRNA,hsa.mir.1247,0.6
Methy,PM20D2,0.6
miRNA,hsa.mir.214,0.6
CNV,FAM86B2,0.6
CNV,DEFB106A,0.6
CNV,ENSG00000230031,0.6
CNV,DCP1B,0.6
Methy,MPP5,0.6
CNV,CCDC77,0.6
mRNA,AGBL4,0.6
Methy,LRRC34,0.6
mRNA,HTATIP2,0.6
CNV,RMND5A,0.6
Methy,INPP5E,0.6
Methy,RMND5A,0.6
mRNA,CLDN18,0.6
miRNA,hsa.mir.766,0.6
mRNA,AFAP1.AS1,0.6
miRNA,hsa.mir.3615,0.6
mRNA,RAB3GAP2,0.4
miRNA,hsa.mir.190a,0.4
miRNA,hsa.mir.4677,0.4
mRNA,FMO1,0.4
mRNA,ADRB1,0.4
miRNA,hsa.mir.675,0.4
Methy,HIST1H1B,0.4
mRNA,ANO2,0.4
mRNA,PAXIP1.AS1,0.4
Methy,RIMKLB,0.4
Methy,MCAM,0.4
miRNA,hsa.mir.125a,0.4
mRNA,UBA2,0.4
miRNA,hsa.mir.3131,0.4
miRNA,hsa.mir.758,0.4
miRNA,hsa.mir.4444.2,0.4
Methy,C1orf87,0.4
miRNA,hsa.mir.431,0.4
CNV,DEFB4A,0.4
mRNA,SLC18B1,0.4
CNV,SPAG11B,0.4
CNV,PRR23D1,0.4
CNV,NAIP,0.4
mRNA,KHDRBS3,0.4
CNV,KANK1,0.4
mRNA,CHRNA7,0.4
Methy,KIF26A,0.4
Methy,SCNN1G,0.4
mRNA,HS3ST3B1,0.4
miRNA,hsa.mir.653,0.4
Methy,CYB5R2,0.4
CNV,KNG1,0.4
Methy,C6orf58,0.4
CNV,GALNT13,0.4
CNV,GMDS,0.4
CNV,USP17L1,0.4
miRNA,hsa.mir.204,0.4
miRNA,hsa.mir.185,0.4
miRNA,hsa.mir.497,0.4
miRNA,hsa.mir.129.2,0.4
CNV,LRTM2,0.4
Methy,LRRC63,0.4
CNV,DAP3,0.4
CNV,SLC39A6,0.4
miRNA,hsa.mir.326,0.4
Methy,NRG4,0.4
miRNA,hsa.mir.197,0.4
miRNA,hsa.mir.509.2,0.4
Methy,ARL10,0.4
Methy,FAM172A,0.4
CNV,PGA4,0.2
mRNA,RNPEP,0.2
mRNA,PHOSPHO2,0.2
mRNA,F8A1,0.2
CNV,GSTM2,0.2
mRNA,KLHL3,0.2
CNV,GTF2H2,0.2
mRNA,SESN2,0.2
mRNA,GLYR1,0.2
CNV,FRMD1,0.2
mRNA,ASPHD2,0.2
miRNA,hsa.mir.409,0.2
CNV,DNAJC24,0.2
mRNA,TMEM9B.AS1,0.2
Methy,L3MBTL3,0.2
Methy,TMEM97,0.2
miRNA,hsa.mir.744,0.2
miRNA,hsa.mir.323b,0.2
CNV,SMARCA2,0.2
Methy,CDK11B,0.2
Methy,GZMH,0.2
miRNA,hsa.mir.369,0.2
CNV,TMPRSS11E,0.2
Methy,ZNF304,0.2
Methy,MUC3A,0.2
mRNA,DUOXA2,0.2
miRNA,hsa.mir.494,0.2
