Omics,Gene,FAEC
miRNA,hsa.mir.154.1,1.0
miRNA,hsa.mir.210,1.0
miRNA,hsa.mir.118b,1.0
miRNA,hsa.mir.136.1,1.0
mRNA,ANAPC1,0.8
Methy,PDE6B,0.8
miRNA,hsa.mir.330,0.8
mRNA,PRKAR1A,0.8
mRNA,RHOT1,0.8
mRNA,SIX2,0.8
miRNA,hsa.mir.369,0.8
CNV,FOXR1,0.8
mRNA,ZZEF332,0.8
miRNA,hsa.mir.336,0.8
miRNA,hsa.mir.101.1,0.8
mRNA,ISYNA1,0.8
Methy,CDR2,0.6
Methy,ZZZ5306,0.6
mRNA,PLBD1.AS1,0.6
mRNA,ZZZ387,0.6
CNV,HLF,0.6
CNV,ACAT2,0.6
CNV,NR1I2,0.6
CNV,ZNF423,0.6
miRNA,hsa.mir.106b,0.6
miRNA,hsa.mir.151b,0.6
miRNA,hsa.mir.29a,0.6
CNV,ZBTB41,0.6
miRNA,hsa.mir.196,0.4
mRNA,ZZZ500,0.4
miRNA,hsa.mir.194.1,0.4
miRNA,hsa.mir.584,0.4
CNV,HIPK4,0.4
miRNA,hsa.mir.342,0.4
miRNA,hsa.mir.450a.1,0.4
miRNA,hsa.mir.146,0.4
Methy,ABHD17A,0.4
mRNA,CDK17,0.4
miRNA,hsa.mir.375,0.4
mRNA,PSMC5,0.4
mRNA,TRERF1,0.4
mRNA,HSD17B3,0.4
CNV,CLK4,0.4
Methy,LIF,0.4
mRNA,CHIC2,0.4
Methy,IQCE,0.4
miRNA,hsa.mir.3610,0.4
mRNA,ZZZ995,0.4
Methy,ERICH5,0.4
Methy,DCAF12,0.4
Methy,CCNE1,0.4
CNV,RASEF,0.4
miRNA,hsa.mir.196a.1,0.4
miRNA,hsa.mir.5000,0.4
miRNA,hsa.mir.1296,0.4
miRNA,hsa.mir.877,0.4
miRNA,hsa.mir.164a,0.4
mRNA,CNDP1,0.4
Methy,FOXF2,0.4
mRNA,C2orf88,0.4
mRNA,GPAT3,0.4
mRNA,HDHD3,0.4
mRNA,SNRPD1,0.4
Methy,KLHL36,0.4
Methy,CRELD1,0.4
Methy,TCEB3,0.4
mRNA,ATP2A3,0.4
miRNA,hsa.mir.142,0.4
mRNA,ZNF174,0.4
miRNA,hsa.mir.760,0.4
CNV,ERCC6,0.4
CNV,CA10,0.4
CNV,SLC25A34,0.4
CNV,HABP2,0.4
mRNA,NPM2,0.4
CNV,SOST,0.4
Methy,PARP14,0.4
Methy,YWHAH,0.4
CNV,VTI1B,0.4
miRNA,hsa.mir.212.3,0.4
Methy,ZZZ5375,0.4
mRNA,ZFAND6,0.2
CNV,THOC6,0.2
mRNA,ZZEF242,0.2
Methy,ZZZ1279,0.2
mRNA,ENPP3,0.2
Methy,SQSTM1,0.2
mRNA,ZZEF1236,0.2
mRNA,MIR6875,0.2
CNV,ADH1C,0.2
mRNA,KY,0.2
Methy,DACH1,0.2
mRNA,GPATCH1,0.2
mRNA,RRP7BP,0.2
mRNA,CTH,0.2
Methy,EVX1,0.2
miRNA,hsa.mir.128.1,0.2
CNV,ZZZ364,0.2
CNV,ZZZ8,0.2
CNV,RPL22L1,0.2
Methy,ZZZ3405,0.2
CNV,INPP5J,0.2
Methy,ZNF320,0.2
Methy,NRAS,0.2
CNV,MANEAL,0.2
