Omics,Gene,FAEC
miRNA,hsa.mir.155b,1.0
miRNA,hsa.mir.3651,1.0
mRNA,MAP1LC3C,1.0
mRNA,IMPG1,1.0
miRNA,hsa.mir.266,1.0
mRNA,RAB28,1.0
mRNA,TMEM150A,1.0
miRNA,hsa.mir.935,0.8
miRNA,hsa.mir.485,0.8
mRNA,WDR75,0.8
mRNA,VNN1,0.8
miRNA,hsa.mir.4677,0.8
CNV,CD209,0.6
CNV,SEMA3B,0.6
mRNA,KBTBD3,0.6
miRNA,hsa.mir.664b,0.6
miRNA,hsa.mir.146b,0.6
miRNA,hsa.mir.153.2,0.6
mRNA,PITPNB,0.6
miRNA,hsa.mir.2355,0.6
miRNA,hsa.mir.232,0.6
miRNA,hsa.mir.184.2,0.6
miRNA,hsa.mir.342.1,0.6
mRNA,PLCXD1,0.6
Methy,NFE2L3,0.6
mRNA,CCND2.AS1,0.6
miRNA,hsa.mir.1296,0.6
mRNA,IDH1,0.6
Methy,IL27,0.6
mRNA,TNFRSF4,0.6
miRNA,hsa.mir.652,0.6
mRNA,MIR484,0.4
mRNA,SDAD1,0.4
Methy,LONRF2,0.4
Methy,ISCA2,0.4
Methy,CEBPE,0.4
Methy,ZZZ2542,0.4
Methy,RBM17,0.4
mRNA,9-Sep,0.4
CNV,HBB,0.4
CNV,MLLT1,0.4
miRNA,hsa.mir.338,0.4
mRNA,PLA2G1B,0.4
CNV,ZZZ558,0.4
CNV,RP11.766F14.2,0.4
mRNA,GULP1,0.4
miRNA,hsa.mir.167a,0.4
miRNA,hsa.mir.3682,0.4
CNV,ZZZ267,0.4
CNV,TBRG4,0.4
CNV,CELSR3,0.4
CNV,ADAL,0.4
CNV,MAGEB1,0.4
CNV,LAIR1,0.4
miRNA,hsa.mir.147b,0.4
CNV,ZZZ1095,0.4
CNV,ZZZ686,0.4
Methy,PPP2R3A,0.4
CNV,CHST12,0.4
miRNA,hsa.mir.23b,0.4
miRNA,hsa.mir.590,0.4
CNV,METTL10,0.4
miRNA,hsa.mir.169b,0.4
mRNA,MRPL20,0.4
mRNA,TDP2,0.4
mRNA,SYNRG,0.4
miRNA,hsa.mir.146b.1,0.4
miRNA,hsa.mir.335,0.4
Methy,TADA2A,0.2
CNV,TSPAN17,0.2
Methy,NCKIPSD,0.2
Methy,MTMR8,0.2
CNV,RAB4A,0.2
CNV,C11orf88,0.2
CNV,MRGPRX3,0.2
CNV,ZZZ771,0.2
Methy,ZCCHC11,0.2
CNV,PLBD2,0.2
CNV,ENSG00000268750,0.2
CNV,GCKR,0.2
CNV,C19orf45,0.2
CNV,ZZZ1129,0.2
CNV,SNTN,0.2
CNV,MUC7,0.2
Methy,ZZZ3095,0.2
Methy,ZZZ2466,0.2
Methy,HIST2H3D,0.2
Methy,FNDC7,0.2
Methy,SERP2,0.2
mRNA,ZZEF94,0.2
Methy,TDRP,0.2
mRNA,KTN1,0.2
mRNA,KLHL30,0.2
mRNA,LPAR2,0.2
Methy,ZZZ13,0.2
mRNA,SMYD2,0.2
mRNA,DNTTIP2,0.2
Methy,SERPINB3,0.2
mRNA,RARRES1,0.2
mRNA,SRSF12,0.2
Methy,OGFOD1,0.2
miRNA,hsa.mir.302,0.2
Methy,NKIRAS2,0.2
miRNA,hsa.mir.181b.2,0.2
miRNA,hsa.mir.486.2,0.2
Methy,ASH2L,0.2
miRNA,hsa.mir.136,0.2
Methy,SPX,0.2
Methy,HBA1,0.2
Methy,HYKK,0.2
CNV,VPS11,0.2
CNV,VPREB1,0.2
Methy,MLYCD,0.2
Methy,MCCC1,0.2
mRNA,AREL1,0.2
mRNA,PIPOX,0.2
mRNA,FTCD,0.2
mRNA,ZNF727,0.2
mRNA,TBC1D10C,0.2
mRNA,VASN,0.2
mRNA,TRAF7,0.2
miRNA,hsa.mir.628,0.2
miRNA,hsa.mir.616,0.2
miRNA,hsa.mir.1306,0.2
CNV,MED7,0.2
CNV,TRDMT1,0.2
CNV,CHAC2,0.2
CNV,C17orf53,0.2
Methy,NGEF,0.2
Methy,LCN1,0.2
Methy,VWA9,0.2
Methy,TMEM247,0.2
Methy,SRRM5,0.2
Methy,ZZZ345,0.2
Methy,CDC14A,0.2
Methy,C12orf74,0.2
Methy,DNAL1,0.2
Methy,CFI,0.2
Methy,ENAM,0.2
Methy,ZZZ2909,0.2
Methy,ZZZ5149,0.2
Methy,ZZZ5030,0.2
CNV,ZNF660,0.2
Methy,SHFM1,0.2
CNV,EIF2S1,0.2
CNV,SMAD3,0.2
CNV,SVOPL,0.2
CNV,FOXF1,0.2
CNV,SERPINB6,0.2
CNV,TNFRSF11B,0.2
CNV,ZNF843,0.2
CNV,ENSG00000267545,0.2
CNV,ZZZ1103,0.2
CNV,CDH4,0.2
CNV,SH2D4B,0.2
CNV,LYZ,0.2
CNV,GRAPL,0.2
CNV,KLF11,0.2
Methy,KRT38,0.2
Methy,ZZZ1197,0.2
Methy,ZZZ5320,0.2
Methy,ASCL4,0.2
Methy,ZZZ240,0.2
Methy,RGS7BP,0.2
Methy,SPARCL1,0.2
Methy,OR7E24,0.2
Methy,NEURL1,0.2
Methy,AKIP1,0.2
