Omics,Gene,FAEC
miRNA,hsa.mir.150a,1.0
mRNA,IGF1,1.0
miRNA,hsa.mir.497,1.0
miRNA,hsa.mir.122b,1.0
miRNA,hsa.mir.766,1.0
mRNA,ZZEF174,0.8
mRNA,HPS5,0.8
miRNA,hsa.mir.290,0.8
Methy,SYT8,0.8
miRNA,hsa.mir.370,0.8
miRNA,hsa.mir.877,0.8
mRNA,TOGARAM1,0.8
mRNA,ZZEF905,0.8
Methy,ATP5L,0.8
mRNA,CYP3A4,0.8
miRNA,hsa.mir.340.1,0.8
mRNA,UAP1L1,0.8
miRNA,hsa.mir.106,0.8
miRNA,hsa.mir.161b,0.8
miRNA,hsa.mir.101.1,0.8
Methy,RIBC2,0.6
Methy,CTD.3074O7.11,0.6
mRNA,TRPS1,0.6
Methy,OR8J3,0.6
miRNA,hsa.mir.194,0.6
Methy,PPAPDC2,0.6
Methy,ATG7,0.6
CNV,ABCC8,0.6
mRNA,ZZEF529,0.6
Methy,CCDC115,0.6
mRNA,CNTF,0.6
miRNA,hsa.mir.651,0.6
miRNA,hsa.mir.160a,0.6
mRNA,FGF7P6,0.6
miRNA,hsa.mir.194.1,0.6
miRNA,hsa.mir.147b.1,0.6
miRNA,hsa.mir.362.3,0.6
mRNA,ITSN2,0.6
mRNA,ATP6V1D,0.6
mRNA,FARP2,0.6
mRNA,DNAH12,0.4
Methy,GLE1,0.4
mRNA,ADAMTS12,0.4
mRNA,IFT22,0.4
mRNA,BRI3BP,0.4
CNV,B3GALT6,0.4
CNV,CHMP4A,0.4
Methy,PLIN4,0.4
Methy,ZZZ2460,0.4
CNV,HSD17B1,0.4
CNV,WRAP73,0.4
miRNA,hsa.mir.99b,0.4
mRNA,MIR6820,0.4
miRNA,hsa.mir.29b.1,0.4
miRNA,hsa.mir.425,0.4
CNV,OR2B3,0.4
mRNA,TRIM56,0.4
Methy,ZZZ33,0.4
miRNA,hsa.mir.3928,0.4
Methy,C1orf112,0.4
Methy,ZZZ1021,0.4
mRNA,MIR6756,0.4
Methy,ZSCAN5B,0.4
miRNA,hsa.mir.429,0.4
Methy,AC004076.9,0.4
Methy,CHEK1,0.4
mRNA,SENCR,0.4
CNV,SPIRE1,0.4
CNV,ENSG00000267545,0.4
miRNA,hsa.mir.486.2,0.4
mRNA,KDM4C,0.4
mRNA,DBN1,0.4
Methy,OR2T4,0.4
mRNA,CSF2RA,0.4
miRNA,hsa.mir.345,0.4
miRNA,hsa.mir.627,0.4
miRNA,hsa.mir.155a,0.4
miRNA,hsa.mir.236,0.4
mRNA,ZZEF260,0.2
Methy,SMCP,0.2
mRNA,AANAT,0.2
Methy,RPS28,0.2
Methy,ZZZ811,0.2
Methy,FAM71B,0.2
mRNA,ANAPC13,0.2
miRNA,hsa.mir.264,0.2
mRNA,ZZZ982,0.2
Methy,ZZZ3228,0.2
Methy,LPPR4,0.2
miRNA,hsa.mir.114,0.2
CNV,RP11.38C17.1,0.2
CNV,ATAT1,0.2
CNV,TAS2R14,0.2
CNV,ASB10,0.2
CNV,TOM1,0.2
mRNA,GSN.AS1,0.2
Methy,ABCA1,0.2
Methy,SPRED1,0.2
Methy,DCUN1D1,0.2
Methy,RDH12,0.2
Methy,FAM217A,0.2
