Feature_Name,Feature_Index,Avg_Sensitivity
ENSG00000275034,1066,5.054166e-06
GAL,4660,4.7671774e-06
CDC42EP3,1419,4.6079795e-06
SEC23A,3583,4.55732e-06
SLC35E2,2514,4.4803483e-06
TRAPPC6B,109,4.4480093e-06
SYS1,414,4.356616e-06
RAB11FIP1,567,4.336457e-06
TP53TG5,2179,4.2780434e-06
ATP11A,3601,4.0641207e-06
PCCA,3046,4.0280866e-06
FARP1,4109,4.019848e-06
PSKH1,2172,4.0022155e-06
PRNT,3167,3.971285e-06
MTL5,92,3.945449e-06
SOX1,3663,3.9112774e-06
CCNE2,4410,3.904968e-06
ZNF703,2849,3.904182e-06
VEZF1,3751,3.899387e-06
OR11H12,3217,3.8925114e-06
