Feature_Name,Feature_Index,Avg_Sensitivity
A3GALT2,2329,4.6210625e-06
HNF1A,3951,4.381137e-06
OR1J2,633,4.295898e-06
APOBEC4,3357,4.2103657e-06
TMCC1,3893,4.082519e-06
SULT1A1,3954,4.077557e-06
SMIM22,2305,4.0524283e-06
AC090154.1,2611,4.0269992e-06
DUSP13,2617,4.019071e-06
S100A9,1262,3.9929682e-06
SAMD8,4064,3.9743227e-06
HLTF,665,3.9369506e-06
C5AR2,3977,3.935197e-06
MANSC4,3589,3.890774e-06
MSGN1,361,3.8705452e-06
DGKD,1233,3.8115554e-06
KCP,3346,3.8061742e-06
CASP2,399,3.7327216e-06
ZP4,3142,3.7296752e-06
TMEM218,3698,3.7166192e-06
