Feature_Name,Feature_Index,Avg_Sensitivity
KRT14,33,2.2636985e-05
RIPK4,304,1.9089377e-05
C3orf67,4618,1.8799894e-05
NUSAP1,1182,1.839754e-05
SYNM,3932,1.8315432e-05
DLGAP5,2224,1.7929877e-05
FAM189A2,3317,1.7858416e-05
XRCC2,3386,1.7773014e-05
S100A2,4687,1.7768856e-05
TP63,2000,1.769503e-05
KIF11,3832,1.7426133e-05
MRPS30,3209,1.7303979e-05
PRPH2,2001,1.7297327e-05
TTC23,516,1.7271386e-05
IL17B,2630,1.6840664e-05
KIF15,4251,1.6770633e-05
ATAD3C,2760,1.67406e-05
CCNB2,4770,1.6458958e-05
KIF20B,2128,1.6164897e-05
AHDC1,2516,1.5982427e-05
