Feature_Name,Feature_Index,Avg_Sensitivity
miRNA_Feat_23,23,0.0001227122
miRNA_Feat_48,48,0.00012206833
miRNA_Feat_122,122,0.00011387747
miRNA_Feat_78,78,0.00011237548
miRNA_Feat_79,79,0.00011015788
miRNA_Feat_19,19,0.000103705235
miRNA_Feat_91,91,0.00010309151
miRNA_Feat_97,97,0.000101520134
miRNA_Feat_4,4,0.000101238445
miRNA_Feat_46,46,0.00010107529
miRNA_Feat_162,162,9.567737e-05
miRNA_Feat_135,135,9.284642e-05
miRNA_Feat_80,80,9.229566e-05
miRNA_Feat_124,124,8.9317036e-05
miRNA_Feat_183,183,8.842178e-05
miRNA_Feat_53,53,8.824425e-05
miRNA_Feat_194,194,8.805826e-05
miRNA_Feat_15,15,8.757758e-05
miRNA_Feat_121,121,8.7082015e-05
miRNA_Feat_86,86,8.598581e-05
