Feature_Name,Feature_Index,Avg_Sensitivity
CNV_Feat_4116,4116,8.0055315e-06
CNV_Feat_4624,4624,7.924112e-06
CNV_Feat_857,857,7.768004e-06
CNV_Feat_4836,4836,7.760224e-06
CNV_Feat_4311,4311,7.748021e-06
CNV_Feat_1300,1300,7.744277e-06
CNV_Feat_3783,3783,7.705303e-06
CNV_Feat_1672,1672,7.695982e-06
CNV_Feat_4445,4445,7.6195697e-06
CNV_Feat_1814,1814,7.6159954e-06
CNV_Feat_106,106,7.5540675e-06
CNV_Feat_313,313,7.4229374e-06
CNV_Feat_2097,2097,7.422489e-06
CNV_Feat_2287,2287,7.4042523e-06
CNV_Feat_1328,1328,7.3762208e-06
CNV_Feat_4402,4402,7.371505e-06
CNV_Feat_4774,4774,7.325882e-06
CNV_Feat_2797,2797,7.3213173e-06
CNV_Feat_3646,3646,7.3116707e-06
CNV_Feat_2096,2096,7.291857e-06
