Feature_Name,Feature_Index,Avg_Sensitivity
PABPC4,2042,4.5527636e-06
H2AFJ,3310,4.2257266e-06
NEGR1,2598,4.2164966e-06
RIMKLB,232,4.1604317e-06
DCDC2,2424,4.137262e-06
FAM124A,4175,4.134714e-06
DMRT2,1494,4.120531e-06
HPCA,1543,4.10518e-06
DUOX2,431,4.040476e-06
PPP1R3G,2195,4.0203518e-06
SRC,1757,3.9756787e-06
C10orf67,3727,3.969705e-06
TTLL7,503,3.903557e-06
KAAG1,383,3.8961352e-06
NRXN3,1438,3.8889107e-06
AC084219.2,2443,3.8539274e-06
HOXC8,3304,3.8101043e-06
MIXL1,2683,3.7840323e-06
FGF20,2742,3.7703185e-06
SP9,2538,3.7524821e-06
