Feature_Name,Feature_Index,Avg_Sensitivity
mRNA_Feat_3784,3784,7.3970004e-06
mRNA_Feat_440,440,7.380668e-06
mRNA_Feat_3226,3226,7.217784e-06
mRNA_Feat_4560,4560,7.1662776e-06
mRNA_Feat_2795,2795,7.035234e-06
mRNA_Feat_1886,1886,6.995766e-06
mRNA_Feat_2108,2108,6.895749e-06
mRNA_Feat_3567,3567,6.885013e-06
mRNA_Feat_4585,4585,6.868027e-06
mRNA_Feat_3222,3222,6.6650136e-06
mRNA_Feat_2522,2522,6.658064e-06
mRNA_Feat_3847,3847,6.554861e-06
mRNA_Feat_3574,3574,6.554661e-06
mRNA_Feat_1959,1959,6.54872e-06
mRNA_Feat_2719,2719,6.543213e-06
mRNA_Feat_1443,1443,6.506065e-06
mRNA_Feat_813,813,6.4973583e-06
mRNA_Feat_4091,4091,6.455504e-06
mRNA_Feat_4622,4622,6.4386045e-06
mRNA_Feat_4988,4988,6.429583e-06
