Feature_Name,Feature_Index,Avg_Sensitivity
miRNA_Feat_57,57,0.00013319218
miRNA_Feat_5,5,0.00012325856
miRNA_Feat_27,27,0.00011820244
miRNA_Feat_64,64,0.00011737924
miRNA_Feat_74,74,0.00010852176
miRNA_Feat_37,37,0.0001066074
miRNA_Feat_66,66,0.000103897466
miRNA_Feat_122,122,0.000103805454
miRNA_Feat_119,119,0.00010256508
miRNA_Feat_197,197,0.00010196204
miRNA_Feat_143,143,0.000101512036
miRNA_Feat_82,82,0.00010108089
miRNA_Feat_130,130,0.000100741054
miRNA_Feat_193,193,0.0001005393
miRNA_Feat_117,117,9.925859e-05
miRNA_Feat_49,49,9.918719e-05
miRNA_Feat_199,199,9.767222e-05
miRNA_Feat_91,91,9.741075e-05
miRNA_Feat_191,191,9.650787e-05
miRNA_Feat_53,53,9.6158605e-05
