Feature_Name,Feature_Index,Avg_Sensitivity
CNV_Feat_2544,2544,8.492107e-06
CNV_Feat_1630,1630,8.370922e-06
CNV_Feat_817,817,8.132503e-06
CNV_Feat_3547,3547,8.126739e-06
CNV_Feat_1215,1215,8.055144e-06
CNV_Feat_427,427,7.987566e-06
CNV_Feat_167,167,7.953837e-06
CNV_Feat_4574,4574,7.947592e-06
CNV_Feat_3800,3800,7.945869e-06
CNV_Feat_3569,3569,7.929903e-06
CNV_Feat_4234,4234,7.899807e-06
CNV_Feat_4400,4400,7.85482e-06
CNV_Feat_317,317,7.829378e-06
CNV_Feat_46,46,7.813432e-06
CNV_Feat_3695,3695,7.7891655e-06
CNV_Feat_4285,4285,7.7698105e-06
CNV_Feat_3676,3676,7.728735e-06
CNV_Feat_4245,4245,7.727449e-06
CNV_Feat_3969,3969,7.711644e-06
CNV_Feat_2685,2685,7.709113e-06
