Feature_Name,Feature_Index,Avg_Sensitivity
ZZZ2241,955,1.1851235e-05
PHOSPHO1,2228,1.1198773e-05
LRRC72,2626,1.1157283e-05
PILRB,3863,1.113524e-05
EGLN3,4586,1.1012335e-05
ENTHD1,2625,1.0788406e-05
TMEM38B,4532,1.067577e-05
EIF3M,2087,1.0626618e-05
RAVER2,4592,1.0335849e-05
MNDA,3571,1.006104e-05
AWAT1,141,1.002245e-05
ZZZ5691,2660,9.9501285e-06
NPFF,352,9.937938e-06
IGFBP4,4039,9.914861e-06
NRAS,2274,9.882554e-06
ZZZ933,4269,9.817966e-06
ZZZ1421,877,9.705744e-06
ZZZ5671,1248,9.6660115e-06
MIXL1,3502,9.617686e-06
ARL9,2518,9.599073e-06
