Feature_Name,Feature_Index,Avg_Sensitivity
ZNF76,1978,1.784553e-05
TCEA3,4230,1.6810776e-05
PRKAR1A,4121,1.637869e-05
CCT3,1633,1.6202936e-05
MIR6887,1096,1.6169473e-05
CFAP61,375,1.6087262e-05
PSMD5,2370,1.5866126e-05
AFF2,1856,1.5842179e-05
NPM2,3916,1.57945e-05
ZZZ166,1549,1.5781108e-05
LOC101927811,639,1.5754533e-05
TOP1,4434,1.5738715e-05
DIXDC1,2568,1.5683047e-05
VAMP8,3996,1.5656839e-05
RRP7BP,487,1.5650025e-05
MRPL10,2657,1.5642141e-05
ZZZ1113,1643,1.561268e-05
SRP54,2803,1.5590635e-05
C2CD5,2571,1.5581387e-05
KLHL9,1170,1.5565907e-05
