Feature_Name,Feature_Index,Avg_Sensitivity
miRNA_Feat_25,25,0.0003203196
miRNA_Feat_54,54,0.00030446085
miRNA_Feat_104,104,0.00029786868
miRNA_Feat_59,59,0.00028905016
miRNA_Feat_98,98,0.0002832405
miRNA_Feat_123,123,0.00028138643
miRNA_Feat_118,118,0.0002675835
miRNA_Feat_47,47,0.0002653617
miRNA_Feat_13,13,0.00026358565
miRNA_Feat_74,74,0.00026344863
miRNA_Feat_92,92,0.00026254618
miRNA_Feat_84,84,0.00025875974
miRNA_Feat_22,22,0.00025738805
miRNA_Feat_122,122,0.00024776696
miRNA_Feat_11,11,0.00024748288
miRNA_Feat_31,31,0.0002466187
miRNA_Feat_70,70,0.0002451949
miRNA_Feat_64,64,0.00024167243
miRNA_Feat_115,115,0.00024143947
hsa.mir.1226,0,0.00023862619
