Feature_Name,Feature_Index,Avg_Sensitivity
CNV_Feat_1654,1654,7.937114e-06
CNV_Feat_4771,4771,7.689409e-06
CNV_Feat_2105,2105,7.646285e-06
CNV_Feat_1233,1233,7.588193e-06
CNV_Feat_3444,3444,7.5766266e-06
CNV_Feat_1007,1007,7.5710595e-06
CNV_Feat_4457,4457,7.5648873e-06
CNV_Feat_519,519,7.5502694e-06
CNV_Feat_226,226,7.54998e-06
CNV_Feat_3416,3416,7.455361e-06
CNV_Feat_4429,4429,7.4333293e-06
CNV_Feat_2944,2944,7.40681e-06
CNV_Feat_3051,3051,7.3972888e-06
CNV_Feat_87,87,7.368115e-06
CNV_Feat_652,652,7.362453e-06
CNV_Feat_2440,2440,7.2793177e-06
CNV_Feat_808,808,7.275343e-06
CNV_Feat_189,189,7.272977e-06
CNV_Feat_2927,2927,7.264978e-06
CNV_Feat_3901,3901,7.254023e-06
