Feature_Name,Feature_Index,Avg_Sensitivity
Methy_Feat_2782,2782,2.67011e-06
Methy_Feat_1808,1808,2.6437265e-06
Methy_Feat_3981,3981,2.622633e-06
Methy_Feat_662,662,2.4714407e-06
Methy_Feat_22,22,2.4544734e-06
Methy_Feat_2350,2350,2.4397987e-06
Methy_Feat_1690,1690,2.3977045e-06
Methy_Feat_15,15,2.3804637e-06
Methy_Feat_4656,4656,2.3794246e-06
Methy_Feat_1886,1886,2.374967e-06
Methy_Feat_959,959,2.3642529e-06
Methy_Feat_195,195,2.3578825e-06
Methy_Feat_231,231,2.3403763e-06
Methy_Feat_406,406,2.3365437e-06
Methy_Feat_2431,2431,2.3217158e-06
Methy_Feat_3030,3030,2.3176697e-06
Methy_Feat_3496,3496,2.3085188e-06
Methy_Feat_4428,4428,2.3084608e-06
Methy_Feat_818,818,2.3061143e-06
Methy_Feat_3672,3672,2.2953227e-06
