Feature_Name,Feature_Index,Avg_Sensitivity
mRNA_Feat_3286,3286,8.905057e-06
mRNA_Feat_1696,1696,8.590838e-06
mRNA_Feat_265,265,8.546276e-06
mRNA_Feat_248,248,8.2915385e-06
mRNA_Feat_2209,2209,8.264546e-06
mRNA_Feat_894,894,8.223779e-06
mRNA_Feat_3331,3331,8.185185e-06
mRNA_Feat_2496,2496,7.995881e-06
mRNA_Feat_2011,2011,7.922974e-06
mRNA_Feat_211,211,7.6143274e-06
mRNA_Feat_91,91,7.6009237e-06
mRNA_Feat_1380,1380,7.588772e-06
mRNA_Feat_2428,2428,7.5682415e-06
mRNA_Feat_1645,1645,7.526931e-06
mRNA_Feat_230,230,7.483315e-06
mRNA_Feat_864,864,7.3631263e-06
mRNA_Feat_2951,2951,7.2634343e-06
mRNA_Feat_2777,2777,7.2152143e-06
mRNA_Feat_1362,1362,7.1905465e-06
mRNA_Feat_2953,2953,7.179327e-06
