Feature_Name,Feature_Index,Avg_Sensitivity
hsa.mir.485,3,0.0001506278
hsa.mir.3651,13,0.00012821819
hsa.mir.23b,89,0.00012647503
hsa.mir.374,50,0.000121747886
hsa.mir.146b.1,79,0.00011841068
hsa.mir.4677,81,0.000112829686
hsa.mir.147b,31,0.000104294835
hsa.mir.338,45,0.00010250699
hsa.mir.195,95,0.000101387595
hsa.mir.338.1,46,0.000101161866
hsa.mir.155b,47,0.00010052569
hsa.mir.154.1,37,0.00010026184
hsa.mir.117a,38,0.00010006297
hsa.mir.574,64,0.000100054705
hsa.mir.659,57,9.94338e-05
hsa.mir.935,22,9.897767e-05
hsa.mir.110,0,9.86647e-05
hsa.mir.169b,91,9.772302e-05
hsa.mir.147a,8,9.606544e-05
hsa.mir.335,2,9.597348e-05
