Feature_Name,Feature_Index,Avg_Sensitivity
PLRG1,3664,1.1752022e-05
ZZZ144,95,1.1292664e-05
OLFML2A,3417,1.1199467e-05
SSC4D,419,1.113799e-05
OR2AG2,3200,1.1025821e-05
AWAT1,4747,1.0999362e-05
RP11.38C17.1,702,1.0851708e-05
SLC35F6,1113,1.0834425e-05
FIZ1,3718,1.0828343e-05
SLC47A1,2181,1.0665688e-05
SPACA5B,458,1.05457975e-05
ZNF791,895,1.0412375e-05
DOPEY2,3226,1.0326808e-05
PTTG1IP,3621,1.0323245e-05
P4HA1,2259,1.0302607e-05
TRMT5,4673,1.0116715e-05
ENSG00000254673,2154,1.0064077e-05
KIAA1644,2513,1.0022709e-05
RFX1,3073,9.9922645e-06
ANKRD44,4534,9.948674e-06
