Feature_Name,Feature_Index,Avg_Sensitivity
Methy_Feat_981,981,1.5397703e-05
Methy_Feat_3209,3209,1.4844025e-05
Methy_Feat_4366,4366,1.407606e-05
Methy_Feat_4629,4629,1.380838e-05
Methy_Feat_3977,3977,1.3779475e-05
Methy_Feat_3765,3765,1.3763682e-05
Methy_Feat_803,803,1.3685254e-05
Methy_Feat_684,684,1.3620263e-05
Methy_Feat_2403,2403,1.3425281e-05
Methy_Feat_4438,4438,1.3304048e-05
Methy_Feat_4697,4697,1.2950644e-05
Methy_Feat_4982,4982,1.2942973e-05
Methy_Feat_2865,2865,1.2914055e-05
Methy_Feat_3791,3791,1.2825352e-05
Methy_Feat_4161,4161,1.2703506e-05
Methy_Feat_4750,4750,1.2692733e-05
Methy_Feat_3901,3901,1.2658466e-05
Methy_Feat_3287,3287,1.2628943e-05
Methy_Feat_15,15,1.2506411e-05
Methy_Feat_4843,4843,1.2438128e-05
