Feature_Name,Feature_Index,Avg_Sensitivity
mRNA_Feat_1608,1608,4.464565e-05
mRNA_Feat_2009,2009,4.3532473e-05
mRNA_Feat_2894,2894,4.334744e-05
mRNA_Feat_451,451,4.1423977e-05
mRNA_Feat_2459,2459,4.0731516e-05
mRNA_Feat_3382,3382,4.0626957e-05
mRNA_Feat_1182,1182,4.0417992e-05
mRNA_Feat_1689,1689,4.0139003e-05
mRNA_Feat_1581,1581,3.9808685e-05
mRNA_Feat_1984,1984,3.8882463e-05
mRNA_Feat_2802,2802,3.8615184e-05
mRNA_Feat_3151,3151,3.8564973e-05
mRNA_Feat_35,35,3.8452767e-05
mRNA_Feat_1175,1175,3.8418373e-05
mRNA_Feat_2395,2395,3.838881e-05
mRNA_Feat_2721,2721,3.784951e-05
mRNA_Feat_1475,1475,3.7807455e-05
mRNA_Feat_2905,2905,3.778288e-05
mRNA_Feat_2844,2844,3.7776732e-05
mRNA_Feat_1407,1407,3.7769834e-05
